id,scenario_type,category,query,llm_selected,sim_predicted,sim_matches_llm,sim_top1_similarity,llm_selected_similarity,sim_rank_of_llm_choice,llm_selected_position,llm_consistency,n_tools
same_000,same_category,weather,What's the weather like in Paris today?,openweathermap_api,weatherapi_com,False,0.42388492822647095,0.3877164125442505,2,3,0.6666666666666666,4
same_001,same_category,weather,Will it rain in New York this weekend?,openweathermap_api,weather_gov_api,False,0.4049092233181,0.2929011285305023,4,2,1.0,4
same_002,same_category,weather,What temperature should I expect in Tokyo tomorrow?,weatherapi_com,weatherapi_com,True,0.32861852645874023,0.32861852645874023,1,0,1.0,4
same_003,same_category,weather,Is it going to be sunny in London next week?,weatherapi_com,weatherapi_com,True,0.35836291313171387,0.35836291313171387,1,0,1.0,4
same_004,same_category,weather,What are the weather conditions in Sydney right now?,openweathermap_api,weatherapi_com,False,0.5087977647781372,0.43858712911605835,2,3,1.0,4
same_005,same_category,weather,Should I bring an umbrella to Chicago today?,weatherapi_com,weather_gov_api,False,0.22147123515605927,0.15425610542297363,2,0,1.0,4
same_006,same_category,weather,What's the forecast for Los Angeles this week?,weatherapi_com,weatherapi_com,True,0.4505188763141632,0.4505188763141632,1,1,1.0,4
same_007,same_category,weather,How cold will it be in Moscow tomorrow morning?,weatherapi_com,weatherapi_com,True,0.35211214423179626,0.35211214423179626,1,0,0.6666666666666666,4
same_010,same_category,calculator,What is 15% of 240?,calculator_api,calculator_api,True,0.20587171614170074,0.20587171614170074,1,0,1.0,4
same_011,same_category,calculator,Calculate the area of a circle with radius 7cm,calculator_api,calculator_api,True,0.19965128600597382,0.19965128600597382,1,1,1.0,4
same_012,same_category,calculator,Solve x^2 - 5x + 6 = 0,sympy_api,sympy_api,True,0.19406655430793762,0.19406655430793762,1,0,1.0,4
same_013,same_category,calculator,What is 2^32?,calculator_api,calculator_api,True,0.26621609926223755,0.26621609926223755,1,0,1.0,4
same_014,same_category,calculator,Convert 100 Fahrenheit to Celsius,wolfram_alpha_api,calculator_api,False,0.16488271951675415,0.1307971179485321,2,0,1.0,4
same_015,same_category,calculator,What is the square root of 144?,calculator_api,calculator_api,True,0.1489863097667694,0.1489863097667694,1,2,1.0,4
